pos_x,pos_y,speed,yaw,lap_dist,spline_pos
-258.07,-125.7543,39.276,-2.081578,823.24,0.162154
-258.8668,-127.102,39.0292,-2.057092,824.88,0.162477
-259.6246,-128.4628,38.8922,-2.035001,826.4,0.162775
-260.3478,-129.8388,38.8599,-2.010028,827.91,0.163073
-261.0383,-131.2307,38.8231,-1.987946,829.53,0.163393
-261.6936,-132.6369,38.7449,-1.965664,831.04,0.16369
-262.31,-134.0561,38.6229,-1.939584,832.54,0.163986
-262.8872,-135.4863,38.5217,-1.914771,834.16,0.164304
-263.4258,-136.9285,38.4549,-1.89023,835.65,0.164599
-263.9285,-138.381,38.4136,-1.864566,837.15,0.164893
-264.3954,-139.8448,38.4084,-1.840792,838.76,0.16521
-264.8258,-141.3196,38.4195,-1.815905,840.25,0.165504
-265.2217,-142.8058,38.4965,-1.791929,841.75,0.165799
-265.5826,-144.3052,38.6178,-1.769516,843.36,0.166117
-265.9094,-145.8168,38.7095,-1.746921,844.87,0.166414
-266.202,-147.3385,38.7516,-1.723886,846.38,0.166711
-266.4553,-148.8675,38.7491,-1.698756,848,0.167031
-266.6734,-150.4032,38.7985,-1.677593,849.51,0.167329
-266.8535,-151.9443,38.7768,-1.653072,851.03,0.167627
-266.9957,-153.4899,38.91,-1.6242,852.66,0.167948
-267.1034,-155.0466,39.1318,-1.602286,854.18,0.168248
-267.1794,-156.6145,39.3333,-1.581494,855.71,0.168549
-267.2253,-158.1914,39.5703,-1.557742,857.37,0.168876
-267.2356,-159.7789,39.8085,-1.532645,858.92,0.169181
-267.2079,-161.3759,40.0404,-1.506104,860.47,0.169488
-267.1426,-162.981,40.2842,-1.482943,862.16,0.169819
-267.0385,-164.5935,40.5193,-1.459618,863.73,0.17013
-266.897,-166.2137,40.7991,-1.434104,865.32,0.170442
-266.7185,-167.8416,41.083,-1.411935,867.04,0.17078
-266.5005,-169.4749,41.3105,-1.387762,868.64,0.171097
-266.2458,-171.113,41.5791,-1.363767,870.26,0.171415
-265.9553,-172.7564,41.8448,-1.346274,872.01,0.17176
-265.6318,-174.4027,42.0895,-1.324728,873.64,0.172082
-265.2719,-176.0545,42.4268,-1.297062,875.29,0.172406
