pos_x,pos_y,speed,target_speed,yaw,lap_dist,spline_pos
267.1559,71.625,86.6201,22.1791,-0.565009,549.16,0.119593
268.6176,70.6987,86.4947,22.0541,-0.564821,550.97,0.119988
270.0787,69.7732,86.5173,21.9256,-0.564655,552.8,0.120386
271.5403,68.8476,86.5307,21.8147,-0.564553,554.35,0.120724
273.002,67.9221,86.5376,21.6871,-0.564429,556.17,0.121121
274.4643,66.9965,86.5691,21.5637,-0.564301,557.98,0.121515
275.9403,66.0626,86.6002,21.4571,-0.564115,559.54,0.121854
277.404,65.137,86.6234,21.3339,-0.563895,561.36,0.12225
278.8682,64.2116,86.6365,21.223,-0.563632,563.18,0.122646
280.3328,63.2864,86.6551,21.1495,-0.563409,564.75,0.122989
281.7981,62.3613,86.6856,21.0762,-0.563173,566.56,0.123383
283.2641,61.4361,86.7118,21.005,-0.562938,568.38,0.12378
284.7312,60.5109,86.7233,20.9485,-0.562684,569.94,0.124119
286.1978,59.5864,86.6501,20.8869,-0.562415,571.76,0.124516
287.6628,58.6636,86.5913,20.8233,-0.562142,573.58,0.124911
289.1282,57.741,86.6161,20.7656,-0.561874,575.14,0.125251
290.5942,56.8186,86.6352,20.671,-0.561623,576.95,0.125646
292.0606,55.8964,86.6419,20.5478,-0.56138,578.78,0.126043
293.5264,54.9751,86.5219,20.4419,-0.561129,580.34,0.126383
294.9911,54.0551,86.5158,20.3216,-0.560832,582.15,0.126778
296.4609,53.1325,86.5474,20.2297,-0.560542,583.97,0.127174
297.9271,52.2128,86.5683,20.3329,-0.560263,585.53,0.127513
299.3938,51.2933,86.5825,20.5071,-0.55996,587.35,0.12791
300.8609,50.3741,86.6006,20.707,-0.559717,589.17,0.128306
302.3287,49.455,86.6243,20.8831,-0.559442,590.72,0.128645
303.7972,48.5359,86.65,21.0802,-0.559206,592.54,0.12904
305.2663,47.617,86.6737,21.2611,-0.558952,594.36,0.129437
306.7359,46.6983,86.692,21.3675,-0.558693,595.92,0.129777
308.3097,45.715,86.7181,21.3522,-0.558455,598.0,0.130231
309.677,44.861,86.7376,21.245,-0.558278,599.56,0.13057
311.1483,43.9424,86.7554,21.1366,-0.558135,601.13,0.13091
312.6202,43.0238,86.7775,21.0124,-0.557973,602.95,0.131307
314.0925,42.1052,86.8013,20.8908,-0.557829,604.77,0.131703
315.5653,41.1866,86.8195,20.7848,-0.557671,606.33,0.132044
317.0387,40.2682,86.8056,20.6569,-0.557403,608.16,0.132442
318.5106,39.3512,86.685,20.5304,-0.557137,609.98,0.132838
319.9821,38.4351,86.6935,20.4222,-0.556821,611.54,0.133178
321.4544,37.5194,86.7236,20.3013,-0.556463,613.36,0.133574
322.9274,36.6038,86.746,20.1773,-0.556124,615.18,0.13397
324.4011,35.6886,86.7589,20.0727,-0.555713,616.74,0.134311
325.8753,34.774,86.741,19.9521,-0.555297,618.56,0.134707
327.3483,33.861,86.6253,19.8309,-0.554855,620.39,0.135105
